"id","slug","title","png","pdf","status"
"figure_01","long_run_rise_of_credit","Long Run Rise Of Credit","outputs/figures/figure_01_long_run_rise_of_credit.png","outputs/figures/figure_01_long_run_rise_of_credit.pdf","generated from reconstructed official WDI panel"
"figure_02","productive_vs_non_productive_credit","Productive Vs Non Productive Credit","outputs/figures/figure_02_productive_vs_non_productive_credit.png","outputs/figures/figure_02_productive_vs_non_productive_credit.pdf","generated from reconstructed official WDI panel"
"figure_03","which_countries_finance_production","Which Countries Finance Production","outputs/figures/figure_03_which_countries_finance_production.png","outputs/figures/figure_03_which_countries_finance_production.pdf","generated from reconstructed official WDI panel"
"figure_04","sectoral_credit_concentration","Sectoral Credit Concentration","outputs/figures/figure_04_sectoral_credit_concentration.png","outputs/figures/figure_04_sectoral_credit_concentration.pdf","generated from reconstructed official WDI panel"
"figure_05","financial_structure_fingerprints","Financial Structure Fingerprints","outputs/figures/figure_05_financial_structure_fingerprints.png","outputs/figures/figure_05_financial_structure_fingerprints.pdf","generated from reconstructed official WDI panel"
"figure_06","credit_diversification_map","Credit Diversification Map","outputs/figures/figure_06_credit_diversification_map.png","outputs/figures/figure_06_credit_diversification_map.pdf","generated from reconstructed official WDI panel"
"figure_07","bolivia_regional_perspective","Bolivia Regional Perspective","outputs/figures/figure_07_bolivia_regional_perspective.png","outputs/figures/figure_07_bolivia_regional_perspective.pdf","generated from reconstructed official WDI panel"
"figure_08","credit_volatility_macro_financial_risk","Credit Volatility Macro Financial Risk","outputs/figures/figure_08_credit_volatility_macro_financial_risk.png","outputs/figures/figure_08_credit_volatility_macro_financial_risk.pdf","generated from reconstructed official WDI panel"
"figure_09","winners_and_laggards","Winners And Laggards","outputs/figures/figure_09_winners_and_laggards.png","outputs/figures/figure_09_winners_and_laggards.pdf","generated from reconstructed official WDI panel"
"figure_10","structural_breaks","Structural Breaks","outputs/figures/figure_10_structural_breaks.png","outputs/figures/figure_10_structural_breaks.pdf","generated from reconstructed official WDI panel"
"figure_11","credit_allocation_by_sector","Credit Allocation By Sector","outputs/figures/figure_11_credit_allocation_by_sector.png","outputs/figures/figure_11_credit_allocation_by_sector.pdf","generated from reconstructed official WDI panel"
"figure_12","country_clusters","Country Clusters","outputs/figures/figure_12_country_clusters.png","outputs/figures/figure_12_country_clusters.pdf","generated from reconstructed official WDI panel"
"figure_13","productive_transformation_dashboard_figure","Productive Transformation Dashboard Figure","outputs/figures/figure_13_productive_transformation_dashboard_figure.png","outputs/figures/figure_13_productive_transformation_dashboard_figure.pdf","generated from reconstructed official WDI panel"
"figure_14","missing_data_transparency","Missing Data Transparency","outputs/figures/figure_14_missing_data_transparency.png","outputs/figures/figure_14_missing_data_transparency.pdf","generated from reconstructed official WDI panel"
"figure_15","policy_quadrant","Policy Quadrant","outputs/figures/figure_15_policy_quadrant.png","outputs/figures/figure_15_policy_quadrant.pdf","generated from reconstructed official WDI panel"
"figure_16","composite_financial_development_index","Composite financial-development index","outputs/figures/figure_16_composite_financial_development_index.png","","doctoral-quality upgrade"
"figure_17","pca_financial_system_clusters","PCA financial-system clusters","outputs/figures/figure_17_pca_financial_system_clusters.png","","doctoral-quality upgrade"
"figure_18","rank_sensitivity","Rank sensitivity","outputs/figures/figure_18_rank_sensitivity.png","","doctoral-quality upgrade"
"figure_19","outlier_pressure_points","Outlier pressure points","outputs/figures/figure_19_outlier_pressure_points.png","","doctoral-quality upgrade"
"figure_20","model_coefficients","Panel model coefficient comparison","outputs/figures/figure_20_model_coefficients.png","","doctoral-quality upgrade"
"figure_21","bolivia_benchmark","Bolivia benchmark","outputs/figures/figure_21_bolivia_benchmark.png","","doctoral-quality upgrade"
