"model","term","estimate","std_error","t_stat","n","r_squared","se_type","note"
"Pooled OLS","intercept","-72.3154","47.3906","-1.526","510","0.18","country-cluster robust","Annual WDI panel; descriptive association, not causal identification."
"Pooled OLS","gdp_growth_annual_pct","-0.3517","0.1901","-1.85","510","0.18","country-cluster robust","Annual WDI panel; descriptive association, not causal identification."
"Pooled OLS","inflation_annual_pct","0.0007","0.0025","0.276","510","0.18","country-cluster robust","Annual WDI panel; descriptive association, not causal identification."
"Pooled OLS","log_gdp_current_usd","3.4295","2.2065","1.554","510","0.18","country-cluster robust","Annual WDI panel; descriptive association, not causal identification."
"Pooled OLS","sector_value_added_hhi","71.3697","47.9456","1.489","510","0.18","country-cluster robust","Annual WDI panel; descriptive association, not causal identification."
"Country fixed effects","gdp_growth_annual_pct","-0.2519","0.141","-1.787","510","0.352","country-cluster robust","Annual WDI panel; descriptive association, not causal identification."
"Country fixed effects","inflation_annual_pct","0.0006","0.0026","0.247","510","0.352","country-cluster robust","Annual WDI panel; descriptive association, not causal identification."
"Country fixed effects","log_gdp_current_usd","7.3304","1.3311","5.507","510","0.352","country-cluster robust","Annual WDI panel; descriptive association, not causal identification."
"Country fixed effects","sector_value_added_hhi","32.7011","40.9241","0.799","510","0.352","country-cluster robust","Annual WDI panel; descriptive association, not causal identification."
"Two-way fixed effects","gdp_growth_annual_pct","0.0052","0.2124","0.024","510","0.245","Driscoll-Kraay style","Annual WDI panel; descriptive association, not causal identification."
"Two-way fixed effects","inflation_annual_pct","0.0006","0.0019","0.33","510","0.245","Driscoll-Kraay style","Annual WDI panel; descriptive association, not causal identification."
"Two-way fixed effects","log_gdp_current_usd","6.4032","0.9353","6.846","510","0.245","Driscoll-Kraay style","Annual WDI panel; descriptive association, not causal identification."
"Two-way fixed effects","sector_value_added_hhi","54.7608","39.4582","1.388","510","0.245","Driscoll-Kraay style","Annual WDI panel; descriptive association, not causal identification."
"Lagged credit-depth model","intercept","0.0135","3.4255","0.004","527","0.925","country-cluster robust","Annual WDI panel; descriptive association, not causal identification."
"Lagged credit-depth model","lag_private_credit_gdp","0.956","0.039","24.486","527","0.925","country-cluster robust","Annual WDI panel; descriptive association, not causal identification."
"Lagged credit-depth model","gdp_growth_annual_pct","-0.1343","0.0614","-2.187","527","0.925","country-cluster robust","Annual WDI panel; descriptive association, not causal identification."
"Lagged credit-depth model","inflation_annual_pct","-0.001","0.0011","-0.949","527","0.925","country-cluster robust","Annual WDI panel; descriptive association, not causal identification."
"Lagged credit-depth model","log_gdp_current_usd","0.1146","0.1788","0.641","527","0.925","country-cluster robust","Annual WDI panel; descriptive association, not causal identification."
"Two-way FE, post-2000","gdp_growth_annual_pct","-0.4583","0.1199","-3.823","361","0.103","Driscoll-Kraay style","Annual WDI panel; descriptive association, not causal identification."
"Two-way FE, post-2000","inflation_annual_pct","-0.0183","0.0547","-0.335","361","0.103","Driscoll-Kraay style","Annual WDI panel; descriptive association, not causal identification."
"Two-way FE, post-2000","log_gdp_current_usd","-0.24","1.6949","-0.142","361","0.103","Driscoll-Kraay style","Annual WDI panel; descriptive association, not causal identification."
"Two-way FE, post-2000","sector_value_added_hhi","77.8732","13.331","5.842","361","0.103","Driscoll-Kraay style","Annual WDI panel; descriptive association, not causal identification."
