"Country","iso3","latest_year","cluster_id","cluster_label","private_credit_gdp","broad_money_gdp","pc1","pc2"
"Argentina","ARG","2025","1","Shallow financial systems","17.6","26.28","-1.6845","-0.6256"
"Bolivia","BOL","2025","1","Shallow financial systems","51.75","57.59","-0.0783","-0.9682"
"Brazil","BRA","2025","3","Deep financial systems","75.1","118.23","0.8191","1.8406"
"Chile","CHL","2025","3","Deep financial systems","102.08","","1.0155","0.8553"
"Colombia","COL","2025","1","Shallow financial systems","39.86","43.06","-0.6393","-0.2954"
"Costa Rica","CRI","2025","2","Intermediate financial systems","51.03","50.59","0.617","-0.1762"
"Dominican Republic","DOM","2025","2","Intermediate financial systems","32.85","41.31","-0.3567","-0.6571"
"Ecuador","ECU","2025","3","Deep financial systems","58.87","62.11","-0.0519","0.7285"
"El Salvador","SLV","2025","3","Deep financial systems","64.37","64.22","0.1572","0.8493"
"Guatemala","GTM","2025","2","Intermediate financial systems","37.23","60.4","-0.2889","0.1464"
"Honduras","HND","2024","3","Deep financial systems","78.46","75.11","0.591","0.9826"
"Mexico","MEX","2025","2","Intermediate financial systems","35.5","48","-0.0973","-0.5895"
"Nicaragua","NIC","2024","1","Shallow financial systems","32.33","","-1.5216","0.3964"
"Panama","PAN","2020","3","Deep financial systems","100.15","","4.5088","-1.4391"
"Paraguay","PRY","2025","1","Shallow financial systems","55.7","","-1.0001","0.8568"
"Peru","PER","2024","1","Shallow financial systems","39.62","","-0.723","0.2774"
"Venezuela","VEN","2013","1","Shallow financial systems","27.47","48.61","-1.5225","-2.3888"
