"rank","Country","iso3","latest_year","private_credit_gdp","domestic_credit_financial_sector_gdp","change_since_2000_pp"
"1","Chile","CHL","2025","102.08","125.66",
"2","Panama","PAN","2020","100.15","89.84",
"3","Honduras","HND","2024","78.46","85.49",
"4","Brazil","BRA","2025","75.1",,"43.96"
"5","El Salvador","SLV","2025","64.37","113.33",
"6","Ecuador","ECU","2025","58.87","65.03",
"7","Paraguay","PRY","2025","55.7",,"31.94"
"8","Bolivia","BOL","2025","51.75",,"-6.97"
"9","Costa Rica","CRI","2025","51.03","73.42",
"10","Colombia","COL","2025","39.86",,"18.91"
"11","Peru","PER","2024","39.62",,"13.28"
"12","Guatemala","GTM","2025","37.23","45.92",
"13","Mexico","MEX","2025","35.5","66.8","21.15"
"14","Dominican Republic","DOM","2025","32.85","59.67",
"15","Nicaragua","NIC","2024","32.33","29.13",
"16","Venezuela","VEN","2013","27.47",,"16.99"
"17","Argentina","ARG","2025","17.6","42.02","-6.3"
