"Country","iso3","latest_year","pc1","pc2"
"Argentina","ARG","2025","-1.6845","-0.6256"
"Bolivia","BOL","2025","-0.0783","-0.9682"
"Brazil","BRA","2025","0.8191","1.8406"
"Chile","CHL","2025","1.0155","0.8553"
"Colombia","COL","2025","-0.6393","-0.2954"
"Costa Rica","CRI","2025","0.617","-0.1762"
"Dominican Republic","DOM","2025","-0.3567","-0.6571"
"Ecuador","ECU","2025","-0.0519","0.7285"
"El Salvador","SLV","2025","0.1572","0.8493"
"Guatemala","GTM","2025","-0.2889","0.1464"
"Honduras","HND","2024","0.591","0.9826"
"Mexico","MEX","2025","-0.0973","-0.5895"
"Nicaragua","NIC","2024","-1.5216","0.3964"
"Panama","PAN","2020","4.5088","-1.4391"
"Paraguay","PRY","2025","-1.0001","0.8568"
"Peru","PER","2024","-0.723","0.2774"
"Venezuela","VEN","2013","-1.5225","-2.3888"
