"table","file","rows","columns","status"
"advanced_figure_status","outputs/tables/advanced_figure_status.csv","25","figure; status; reason","generated"
"advanced_model_results","outputs/tables/advanced_model_results.csv","22","model; term; estimate; std_error; t_stat; n; r_squared; se_type; note","generated"
"appendix_tables","outputs/tables/appendix_tables.csv","4","appendix; item; status; path","generated"
"bolivia_advanced_profile","outputs/tables/bolivia_advanced_profile.csv","1","metric; Bolivia; regional_median; gap; interpretation","generated"
"cluster_assignments","outputs/tables/cluster_assignments.csv","17","Country; iso3; latest_year; cluster_id; cluster_label; private_credit_gdp; broad_money_gdp; pc1; pc2","generated"
"cluster_profiles","outputs/tables/cluster_profiles.csv","3","cluster_label; countries; country_list; mean_private_credit_gdp; mean_pc1","generated"
"composite_index","outputs/tables/composite_index.csv","17","Country; iso3; latest_year; composite_index_equal; composite_index_credit_heavy; composite_index_stability_sensitive; private_credit_gdp; rank_equal; rank_credit_heavy; rank_stability_sensitive","generated"
"correlation_matrix","outputs/tables/correlation_matrix.csv","49","variable_a; variable_b; correlation","generated"
"country_profiles","outputs/tables/country_profiles.csv","17","Country; iso3; first_year; latest_year; observations; private_credit_first; private_credit_latest; change_pp; avg_growth","generated"
"country_ranking","outputs/tables/country_ranking.csv","17","rank; Country; iso3; latest_year; private_credit_gdp; domestic_credit_financial_sector_gdp; change_since_2000_pp","generated"
"data_quality_report","outputs/tables/data_quality_report.csv","5","check; result; detail","generated"
"data_recovery_status","outputs/tables/data_recovery_status.csv","4","dataset; reconstructed; output; source; limitation","generated"
"descriptive_statistics","outputs/tables/descriptive_statistics.csv","9","variable; n; mean; sd; min; p25; median; p75; max","generated"
"distribution_diagnostics","outputs/tables/distribution_diagnostics.csv","7","variable; label; research_question; n; mean; sd; p10; p25; median; p75; p90; skewness; outlier_count_iqr","generated"
"econometric_results","outputs/tables/econometric_results.csv","12","model; term; estimate; std_error; t_stat; n; r_squared; note","generated"
"executive_tables","outputs/tables/executive_tables.csv","5","kpi; value; note","generated"
"hausman_diagnostic","outputs/tables/hausman_diagnostic.csv","1","diagnostic; statistic; df; decision; rationale","generated"
"heterogeneity_by_era","outputs/tables/heterogeneity_by_era.csv","5","era; observations; countries; mean_private_credit_gdp; median_private_credit_gdp; mean_growth; mean_inflation","generated"
"missing_values","outputs/tables/missing_values.csv","9","variable; missing; total; missing_pct","generated"
"missing_values_report","outputs/tables/missing_values_report.csv","9","variable; missing; total; missing_pct","generated"
"outlier_observations","outputs/tables/outlier_observations.csv","160","variable; Country; iso3; Year; value; lower_fence; upper_fence; reason","generated"
"panel_coverage","outputs/tables/panel_coverage.csv","14","variable; non_missing; total_rows; coverage_pct; countries_with_data","generated"
"panel_diagnostics","outputs/tables/panel_diagnostics.csv","6","metric; value; note","generated"
"pca_loadings","outputs/tables/pca_loadings.csv","5","variable; pc1_loading; pc2_loading","generated"
"pca_scores","outputs/tables/pca_scores.csv","17","Country; iso3; latest_year; pc1; pc2","generated"
"pca_summary","outputs/tables/pca_summary.csv","2","component; eigenvalue; variance_share; interpretation","generated"
"pipeline_status","outputs/tables/pipeline_status.csv","4","step; status; message; timestamp","generated"
"publication_tables","outputs/tables/publication_tables.csv","5","table; rows; path","generated"
"quality_control_report","outputs/tables/quality_control_report.csv","6","check; status; detail","generated"
"regression_tables","outputs/tables/regression_tables.csv","12","model; term; estimate; std_error; t_stat; n; r_squared; note","generated"
"research_questions_map","outputs/tables/research_questions_map.csv","5","research_question; evidence; output","generated"
"robustness_summary","outputs/tables/robustness_summary.csv","5","check; result; detail","generated"
"sector_profiles","outputs/tables/sector_profiles.csv","5","sector; status; profile","generated"
"sector_rankings","outputs/tables/sector_rankings.csv","17","Country; iso3; latest_year; agriculture_value_added_gdp; industry_value_added_gdp; services_value_added_gdp; sector_value_added_hhi","generated"
"self_evaluation","outputs/tables/self_evaluation.csv","9","dimension; score; strengths; weaknesses; future_improvement","generated"
"sensitivity_analysis","outputs/tables/sensitivity_analysis.csv","17","Country; iso3; rank_equal; rank_credit_heavy; rank_stability_sensitive; max_rank_shift; interpretation","generated"
"summary_statistics","outputs/tables/summary_statistics.csv","9","variable; n; mean; sd; min; p25; median; p75; max","generated"
"variable_dictionary","outputs/tables/variable_dictionary.csv","10","original_name; clean_name; definition; unit; source; transformation; analytical_use","generated"
